1310 | 03:08:15 | Agent:   2.4% ( -2.8%) | Market:   1.3% (  5.1%) | Wins: 50.0% | eps:  0.000
1320 | 03:17:14 | Agent:   2.6% (  0.8%) | Market:   2.4% (  7.4%) | Wins: 48.0% | eps:  0.000
1330 | 03:26:13 | Agent:   3.8% ( 12.4%) | Market:   2.2% ( -3.0%) | Wins: 49.0% | eps:  0.000
1340 | 03:35:14 | Agent:   3.6% (  1.6%) | Market:   2.7% (  3.1%) | Wins: 46.0% | eps:  0.000
1350 | 03:45:02 | Agent:   3.2% ( -2.6%) | Market:   3.4% (  8.7%) | Wins: 45.0% | eps:  0.000
1360 | 03:54:05 | Agent:   3.3% (  1.3%) | Market:   3.5% (  1.6%) | Wins: 45.0% | eps:  0.000
1370 | 04:03:21 | Agent:   3.0% ( -1.3%) | Market:   3.7% (  4.1%) | Wins: 41.0% | eps:  0.000
1380 | 04:12:36 | Agent:   2.9% (  2.0%) | Market:   3.9% (  3.5%) | Wins: 39.0% | eps:  0.000
1390 | 04:21:49 | Agent:   1.1% ( -4.8%) | Market:   3.7% (  1.9%) | Wins: 35.0% | eps:  0.000
1400 | 04:30:49 | Agent:   0.6% ( -0.3%) | Market:   3.4% (  1.2%) | Wins: 34.0% | eps:  0.000
1410 | 04:39:51 | Agent:   1.1% (  1.5%) | Market:   3.4% (  5.7%) | Wins: 33.0% | eps:  0.000
1420 | 04:48:52 | Agent:   2.5% ( 15.0%) | Market:   3.6% (  9.2%) | Wins: 36.0% | eps:  0.000
1430 | 04:57:53 | Agent:   1.4% (  1.2%) | Market:   4.2% (  3.3%) | Wins: 33.0% | eps:  0.000
1440 | 05:06:54 | Agent:   1.0% ( -1.6%) | Market:   3.9% ( -0.2%) | Wins: 33.0% | eps:  0.000
1450 | 05:15:53 | Agent:   1.3% ( -0.0%) | Market:   3.1% (  0.9%) | Wins: 33.0% | eps:  0.000
1460 | 05:24:53 | Agent:   1.1% ( -1.1%) | Market:   3.2% (  2.7%) | Wins: 31.0% | eps:  0.000
1470 | 05:34:11 | Agent:   1.3% (  0.6%) | Market:   3.6% (  8.0%) | Wins: 33.0% | eps:  0.000
1480 | 05:43:12 | Agent:   1.5% (  4.0%) | Market:   3.8% (  5.6%) | Wins: 35.0% | eps:  0.000
1490 | 05:52:11 | Agent:   2.4% (  4.9%) | Market:   3.9% (  2.7%) | Wins: 39.0% | eps:  0.000
1500 | 06:01:11 | Agent:   3.3% (  8.5%) | Market:   3.5% ( -3.1%) | Wins: 42.0% | eps:  0.000
1510 | 06:10:10 | Agent:   3.1% ( -0.4%) | Market:   3.6% (  6.6%) | Wins: 42.0% | eps:  0.000
1520 | 06:19:11 | Agent:   1.8% (  1.5%) | Market:   3.3% (  6.7%) | Wins: 37.0% | eps:  0.000
1530 | 06:28:11 | Agent:   3.2% ( 15.6%) | Market:   3.3% (  2.7%) | Wins: 39.0% | eps:  0.000
1540 | 06:37:13 | Agent:   4.2% (  8.3%) | Market:   3.3% ( -0.2%) | Wins: 42.0% | eps:  0.000
1550 | 06:46:18 | Agent:   6.4% ( 22.2%) | Market:   3.4% (  2.2%) | Wins: 43.0% | eps:  0.000
1560 | 06:55:18 | Agent:  11.7% ( 51.8%) | Market:   3.2% (  0.4%) | Wins: 43.0% | eps:  0.000
1570 | 07:04:18 | Agent:  11.6% ( -0.1%) | Market:   3.1% (  7.0%) | Wins: 45.0% | eps:  0.000
1580 | 07:13:37 | Agent:  10.8% ( -4.6%) | Market:   3.0% (  5.0%) | Wins: 42.0% | eps:  0.000
1590 | 07:22:38 | Agent:  10.9% (  6.2%) | Market:   3.1% (  3.7%) | Wins: 42.0% | eps:  0.000
1600 | 07:31:41 | Agent:  10.3% (  2.9%) | Market:   4.1% (  6.7%) | Wins: 37.0% | eps:  0.000
1610 | 07:40:43 | Agent:  10.8% (  4.1%) | Market:   4.1% (  7.1%) | Wins: 37.0% | eps:  0.000
1620 | 07:49:45 | Agent:  11.2% (  5.5%) | Market:   3.7% (  2.5%) | Wins: 42.0% | eps:  0.000
1630 | 07:58:47 | Agent:  11.4% ( 18.0%) | Market:   4.3% (  9.0%) | Wins: 41.0% | eps:  0.000
1640 | 08:07:57 | Agent:  10.8% (  1.6%) | Market:   4.1% ( -2.9%) | Wins: 43.0% | eps:  0.000
1650 | 08:16:58 | Agent:   9.6% ( 10.1%) | Market:   4.3% (  4.4%) | Wins: 46.0% | eps:  0.000
1660 | 08:26:01 | Agent:   4.4% (  0.5%) | Market:   4.4% (  1.4%) | Wins: 45.0% | eps:  0.000
1670 | 08:35:08 | Agent:   4.3% ( -1.5%) | Market:   4.3% (  6.4%) | Wins: 42.0% | eps:  0.000
1680 | 08:44:22 | Agent:   5.6% (  8.1%) | Market:   4.0% (  1.5%) | Wins: 44.0% | eps:  0.000
1690 | 08:53:25 | Agent:   5.7% (  7.6%) | Market:   3.4% ( -1.6%) | Wins: 45.0% | eps:  0.000
1700 | 09:02:28 | Agent:   5.7% (  2.9%) | Market:   3.6% (  8.5%) | Wins: 47.0% | eps:  0.000
1710 | 09:11:31 | Agent:   6.1% (  8.5%) | Market:   3.2% (  3.3%) | Wins: 48.0% | eps:  0.000
1720 | 09:20:33 | Agent:   5.7% (  1.3%) | Market:   3.2% (  2.2%) | Wins: 45.0% | eps:  0.000
1730 | 09:29:37 | Agent:   4.0% (  1.1%) | Market:   2.8% (  5.2%) | Wins: 45.0% | eps:  0.000
1740 | 09:38:41 | Agent:   4.1% (  2.4%) | Market:   3.1% ( -0.2%) | Wins: 41.0% | eps:  0.000
1750 | 09:47:44 | Agent:   3.2% (  1.6%) | Market:   3.1% (  3.9%) | Wins: 38.0% | eps:  0.000
1760 | 09:56:46 | Agent:   3.6% (  4.5%) | Market:   2.8% ( -1.4%) | Wins: 42.0% | eps:  0.000
1770 | 10:05:49 | Agent:   3.9% (  1.3%) | Market:   2.4% (  3.0%) | Wins: 45.0% | eps:  0.000
